,class,tweet
86,0,kanye west faggot
87,0,ceasefire let see how long those towel heads can without trying attack israel then cry national media when they get popped again
88,0,what fucking faggot
89,0,hate when white trash try act like they are equal only makes that much clearer how white trash they are
90,0,literally every man fam copped bad white bitch wife not even boutta break chain unless latina comes around
91,0,see its fine line killing faggots does not change the source their creation which stupid people overbreeding period
92,0,believe that you fuckin can punk nigga bitch
93,0,happppppy bihdayyyy lol niggahs really this bitch
94,0,dis broad done tagged dis nicca video his sis giving dome tragic
95,0,one goes into psychiatry help people those people are all immoral everyone who works that field pure trash
96,0,man bitch not gon damn thang not like what got say then unfollow
97,0,inb you unfunny nigger kill yourself
98,0,but that what you call white trash with money
99,0,unbelievable that there are americans who refused kill the okies that means all americans weak willed trash
100,0,pillow talking too hoe hating nigga fuck around loose hoe like that
101,0,pats owner kike
102,0,bitch you are white stfu with your shitty spanish
103,0,vanessa such fuckin faggot
104,0,hey aklve taking out the black ghetto trash youre blocked nigger
105,0,them queer ass shos rabchenko got
106,0,not like stupid white bitch some horror movie asks america hide from isis behind some chainsaws kay
107,0,would not proud that faze your family horrible for one and two ugly trailer trash fazeisgay
108,0,pop nigguh sound like crisco
109,0,not like the sand nigger but enteaining like knockdowns
110,0,who cares tbh ones shitty diy argentino the other feather fisted nigger
111,0,phone charging backwards retarded
112,0,here michaelbrown suppoer she says whites are just evil albino black babies seriously tcot
113,0,ight nigga haha fucking queer has clear his schedule
114,0,will the fag means cigarette and faggot bundle sticks you homo
115,0,gone nigguh
116,0,fag
117,0,those little isis faggots usually have bags over their heads anyway makes bullet placement interesting thru scope
118,0,johnny rebel quit your bitchin nigger
119,0,none went these prestigious establishments are clearly not superior these fucking retards
120,0,with pills that nig will last years like magic nig should hav died years ago the first team draft gay
121,0,ride your bitch these then homie consider yourself single nigga
122,0,all whitey gots pay preparations
123,0,shut the fuck fag ill beat the shit outta you
124,0,they are wrong you are nigger always causung mischief among own people
125,0,there full moon out crazyassholes out full force and not talking about muzzies liberals and the mood oblige
126,0,that shade faggot clashes with your eye color
127,0,faggot you change your name your bday just you can get bday tweets this aint nigga fuck bihday
128,0,only retards retweet fuckry
129,0,coming the rescue some retard licking diy skidmarks the internet you guys are fucktards
130,0,california home skater trash
131,0,hate that nigger
132,0,swear god nigger you better still hang with before work you got hype
133,0,eda the queers lol
134,0,remember the yellow badge nazis used israel making muslim women carry yellow badge order pray
135,0,missing something ofay friends day all scared recent happenings not chu worry lamar say you like colored folk
136,0,white boy talmbout ight will see you tomorrow school nigger
137,0,was obama call press conference slit joe bidens neck live just show these crackers mean business
138,0,nigga who bitch fucking cracker get your gay ass out mentions
139,0,fucking gook
140,0,happy first day college nigger
141,0,never full retard
142,0,get money nigga hoes love
143,0,told dad buy cookies for the graduation reception this nigga bought oreos
144,0,grandma used call porch monkey all the time come think she did refer broken bottle nigger knife
145,0,idc what phone got lol silly nigger
146,0,for every bad bitch there nigga who treats them like shit yet they stay wan
147,0,tell how you really feel those little isis faggots usually have bags over their heads anyway
148,0,yeah too people the women laff the set apa men they love the real niggas niggers
149,0,you fucking fag this exactly what talking about women are pigs
150,0,you retarded bruh lol
151,0,quit bitching faggot happy you cant see your faggot family cry baby little girl crying the parking lot you aint man sissy
152,0,wrong stupid nigger
153,0,lakers are trash right now
154,0,they drafted that gay ass that come out well welcome redskins nation queers just lot niggers
155,0,why niggas gassin these wack ass bitches
156,0,niggas deserve better bitches
157,0,only one problem theres pussies allowed sorry
158,0,still really confused humplayproblems think lucricus fag dagger
159,0,nigga bitch him will never date female with another niggah name her lol wtf
160,0,comfoable but niccas like say smh
161,0,omg fat bitch what her
162,0,dear utah polynesians again stop acting black and speaking ghetto speak fob you not ghetto niggaz
163,0,harm this pussy instead missing usc medical student last seen tuesday may harm himself
164,0,hell naw fuck them bitches serves them right
165,0,lmao live wit girl and dishes faggot
166,0,california full white trash
167,0,all you muzzy lovers need one thing tell muzzies the mideast leave israel alone not sta shit not shit israel
168,0,watch out nigger lovers you day coming
169,0,wow hoe the term for women
170,0,you work today niglet
171,0,aint nobody wearing those new westbrook jordan but mexicans trailer park trash white girls
172,0,let kill some crackers kill their babies new black panthers hijack his ferguson presser
173,0,bald head bitches think their time prosper
174,0,smh queer
175,0,the biggest faggot the world
176,0,lmao you stupid nigger
177,0,just get mad your search bar here and search stupid niggers hop somebodys head then mention lol
178,0,you call house nigger and she the racist fathom the hypocrisy that statement
179,0,fuck nigger
180,0,jews and white race traitors have swept clean the aryan race can survive
181,0,black bitches not kickin our school bitches still comin wit durags still they head shit
182,0,looks like fag and his time line boring zzzzzz
183,0,sta crying and stalking him faggot want laff
184,0,libey and justice for all get sandwich nigger will kill you
185,0,lrg ass nigguh
186,0,fuck ray rice someone crack that bitch
187,0,wow whatever fuck all those assholes they are niggers they all look alike
188,0,american not give shits about the beaners ship them beaners back
189,0,dani alves pulled off that hairstyle neymar just looks like faggot
190,0,fuck you ghetto ass coons
191,0,slow replies make feel like retard and just want put foot through wall hjhdyhdhlgjdftilh
192,0,you got faggot
193,0,like taking niggas hoes but stop doing that
194,0,fucking white people bitch wut
195,0,they should have never gave cracker transmitter will flip when sees this
196,0,phillip rivers look like almost wants call dude nigger for that bad play
197,0,sand nigger ran over some kidd
198,0,somethingigetalot are you asian black hawaiian gay retarded drunk
199,0,joe coez the ultimate faggot that fight proved
200,0,ahmed and retard mikey for special olympic boxing
201,0,just got done with last final and walkin around cus like own this place queer
202,0,omg gtfo white faggot
203,0,ankle socks general are for the faggots bro
204,0,lame but pussy ass did not show the fuck talking bout scary ass white boy
205,0,these sour apple bitter bitches not fuckin wit
206,0,all know that one person that could say anything and you just look them thinking you are retarded stfu stupidbitches
207,0,your fucking retared its not even funny bitch going sleep
208,0,well cunt and can suck ass
209,0,tea bag pahahaha
210,0,but atleast they let know faggot keep those type twitter secrets
211,0,every slant losangeles should depoed those scum have right here chinatown should bulldozed
212,0,the nations know who are but rather real niggers bad bitches
213,0,you lame ass nigga still cuffin these hoes bitch got bitch with
214,0,shit your ass and shabbat your moms pussy jew bastard times coming heil hitler
215,0,stfu white trash
216,0,status repo making pit stop canada rape bitches
217,0,man ducked like true hick would have split that white trash faggot lid
218,0,the fucking royals bitch work
219,0,your getting blocked faggot
220,0,waking some new shit like fuck that bitch shit
221,0,fag
222,0,most niccas broke but always the limelight
223,0,fuck miley tranny looking now damn ass nigga
224,0,you like after romeo chances are think you are faggot
225,0,are you working route running and catching you will good for grier have fun with the white trash racist fans fsu
226,0,what worse than ebola the retards trying make race issue sharpton has caused more american death than ebola
227,0,leave you beaner retard
228,0,fuck you you pussy ass hater suck dick and die quick someone youtube comments think would good friends
229,0,faggot
230,0,fat dykes make want vomit
231,0,clan retards
232,0,smh tyga shoulda knew blacc chyna was hoe when his son crip walked out her pussy
233,0,and are faggots kbye
234,0,fuck your mother faggot
235,0,you aint bout that murder game pussy nigga shut gang
236,0,dem niggas have them white hoes love beautiful black sistas
237,0,fat fucking funky nasty ass hoes
238,0,while the men will often rambling and retarded the women will appear trashy and tipsy lawless and lustful
239,0,least say crazy some nigga got find out bitch wild when she shooting they ass
240,0,stop trolling creepy ass cracker
241,0,seeing ugly bitches get pregnant let know that nigga swill fuck anything with pussy alcohol longer the excuse you was pressed
242,0,good fat dyke
243,0,are being overrun mongrels because zog the jews that run our countries want the white man perish
244,0,why does this faggot front have get two dozen doughnuts right now get the fuck
245,0,this girl comes into class with fried chicken and pulls hot sauce out her purse mean come how ghetto stereotypi
246,0,fuck outta here faggot that would not even fair
247,0,yea what did for maidana made him greedy faggot loser atleast broner black
248,0,some lying ass hoes lol
249,0,course faith for baseball off this year because barrybonds you goddamn retards morons
250,0,everybody favorite phrase try and end argument you you and lmao faggots
251,0,tight pants and loud colors you look like fag
252,0,fucking with these hoes nigga not dumby
253,0,think dat called nigger what move away from dark side mean
254,0,not but hell when blk stop sayin nigger will what they can have can have this america
255,0,will you mention why being called nigger wrong witch agree with bossy being called pimp still
256,0,have never seen such ignorant illiterate pieces shit life bring natl guard disperse this trash
257,0,niggas not playin gram defense man george need tell these bitch ass niggas man
258,0,fag
259,0,you like them bitch niggas
260,0,eagles fuck around lose will kill the cracker the sophi crib smfh
261,0,wish coulda said more tonight good seeing you fag
262,0,fag
263,0,bullets through nigguh tru jeans
264,0,what wetback looks like when gets caught crossing the border
265,0,man was trying eat nigga you said was bitches out here showed for nothin
266,0,hate when nigga ask where the hoes nigga idfk
267,0,boy yung thug fag
268,0,lowkey called that faggot faggot
269,0,punk ass broke faggots
270,0,shoot that nigga and his shoy bitch
271,0,not care tho cracker
272,0,ill break bitch down like the pussy she
273,0,omg ugly faggot your bad mother you should kill yourself like robin williams
274,0,nigga screamed like lil bitch lol
275,0,america today the rule thumb when doubt blame whitey
276,0,that nigger music
277,0,illegal alien not race crime wetbacks
278,0,fuck lame nigga than you lame bitch
279,0,gee not cracker racist term tired these race baiters
280,0,aww mad tho successful man lmfao hut hugging faggot
281,0,fuck michelle obama that monkey doesnt belong the white house
282,0,heyyyyyyyyyyy fag boy gon watch you play
283,0,some hoes worried about eyebrows forgot had mustache lmao
284,0,hey fag you
285,0,wat ever say whitey prolly never even seen shaft
286,0,the blacks california are typical niggers
287,0,call him cock blocking faggot
288,0,fuck you faggot
289,0,sick niggers
290,0,yes now get off twitter you lame negros should have never learned how use the internet
291,0,only fags say swag shits mad retarded
292,0,just fuckin roasted this faggot
293,0,this bitch look like fucking white trash trailer park queen lookin man bear pig
294,0,hoe not tweet
295,0,one day like harry styles hot the next day who this faggot
296,0,not give flying fuck what teabagger piece human garbage like you thinks
297,0,should hang out ovenjew have lot common people waste time nigs jews problem
298,0,then faggot
299,0,back lego club faggot
300,0,giving you that trailer park trash transformthursday ladykimora vegasqueens vegasshowgirls
301,0,joshua faggot just suspend him those grounds
302,0,lmao let these hoes hoes not savin nem
303,0,delete now you bitch ass nigga the redskins beat will delete fucking
304,0,not fuck scary hoe
305,0,you know what fuck you too bitch your such little hoe
306,0,bitch you are the ugliest cunt ever
307,0,need chat with where dat nicca lol
308,0,you know she dyke when she asks for men golf clubs
309,0,the fuck not bitch how bout get out there bitch ass nigga stupid ass
310,0,only pussy niggas who suck dick cry about someone being their mentions tweet the person then cry again about the
311,0,can guarantee few things you are white you have never been anywhere near real ghetto you relative pig
312,0,some niggas save hoes
313,0,big fucking deal cry baby niggers
314,0,how would know not fuck with you exactly you not wtf got shut your retarded ass
315,0,fucc nicca pose pullin
316,0,nigga wan bitch about pay know address knock door
317,0,going sell iphone and both macs not suppo faggots
318,0,love the song john doe dope faggots
319,0,mine too this niggah
320,0,the entire pats bandwagon they faggots
321,0,bitches having nigga but want another nigga wcw bitch not work like that
322,0,guy claiming republican called news and said republicans hate that nigger obama
323,0,lmao madonnas music sucks yeah you are fucking stupid you think gaga better retard
324,0,best friend loves justin beiber what fag
325,0,can give you some clothes you can look like cute dyke
326,0,bitch ass nigga fuck you these hoes not got manners realtalk
327,0,white trash have taken over every charity organization the
328,0,nah hate white people now since looks like dyke think just ended racism
329,0,shut fag
330,0,looks like pretty dyke
331,0,stopped caring about mcm when noticed dykes where getting chose before
332,0,stupid white people making posts relevant they own life stupid cousintoucher honkie whitetrash blonde
333,0,lol nicca dime game got soo much clout niccas goin store buy sum dice
334,0,what these bitches want from nigga like some dmx shit
335,0,hoes thnk they won when the nigga thats ridin the fence sta givin them lil attention what won hoe wishywashy ass nigga
336,0,dont get drafted for the squad gon have some problems drop the faggot jesus
337,0,niggas they feelings when they find out their hoe fuckin another nigga stopsavinthesehoes
338,0,still think snap chat for faggots and high schoolers
339,0,jesus would love that and more those muzzie tourers fucking animal savages
340,0,huh lol mad nigger mad
341,0,some little fucking faggot spits food swear god tear your fucking arms off
342,0,thats just rooting against team hate not banwagoning retard have different favorite
343,0,and fuck you too little bitch you look like mexican sucking cock profile
344,0,jerk off lollis faggot
345,0,horrible rapper tyga most trash rapper ever she want yellow nigga corn the cob smacked mom when heard him
346,0,bitch you watch your fucking mouth you diy whore swear god that thin line
347,0,the teach might get got really hate disrespectful ass bitch class the professor talking you stfu bitch
348,0,says the old man hope you can survive another years you silly jigga boo monkey
349,0,you are fucking faggot
350,0,come wage with fag
351,0,niggerfood niggerperson you are nigger
352,0,not blow bubbles whistle basically retarded
353,0,you fatherless wallet carrying ass video game playing ass negro breh you filth way you can afford date twitterhoney
354,0,talking crazy over the internet the same thing doing person not try buddy buddy with later faggot fuck you
355,0,well genos the ultimate faggot got show this queer how eat
356,0,the elite call conservatives our niggers behind closed doors tcot teapay
357,0,yost posmouth this the biggest white trash county the nation yostknowsmost
358,0,our people now the time for the aryan race stand and say more before the mongerls turn the world into ghetto slum
359,0,just wan slit this throat
360,0,black girls have never been into guess cause not call them hoes sell drug shoot niggas well
361,0,racist all month fuck honkey
362,0,pray church something fag one cares about your religious bullshit
363,0,get past boot and active few years see what really daily you liberal pussy
364,0,flaming faggots that publicly state how they want everything handed them like fuck you dude get off your bottom ass and something
365,0,hate trailer trash
366,0,gay ass nigga bitch you thought you thought
367,0,only fuck niggas would wan continue mess with these messy ass bitches somebody who has been down for them all
368,0,shut coon
369,0,your nasty nigger whore
370,0,stop stalkin your girl social media bitch ass nigga
371,0,take the trash out and darkskin nigga stole damn garbage
372,0,would like apologize anyone have called fat stupid gay nigger jew retarded truly sorry just trolling fags
373,0,faggots
374,0,leo get the fuck off vine you fag
375,0,what the fuck this disgusting nigger from the movie captain phillips doing the red carpet for the oscars what the fuc
376,0,you styl got get dem tweets off nig
377,0,hoes dyke
378,0,happy bihday little cotton picker
379,0,its retarded
380,0,this rain got yall women talking out your ass nigga should spend his income bitch bruh get these hoes the fuck outta here
381,0,lmaoooo what bunch fags
382,0,the faggots can have page cant they faggots offend more than them
383,0,fucking faggots are not from live maryland
384,0,you hoes need stop dressing kids migos and rappers that fucked lil nigga just wanted power ran
385,0,these hoes lying all nigga got news for the monogamous niggas bitch fucking anonymous niggas
386,0,hey sir house nigger uncle tom are not you from grand ole mississippi rest case
387,0,nah its you thought some photoshopped face that faggot smmfh hate yall
388,0,regular nig played out lol ima famous these days that counts for somethin
389,0,managers stupid cunt yes said
390,0,fight you fucking obese niglet
391,0,and the jew favorited tweet though lol not have anymore time for this trash
392,0,mfs still the same spot yrs ago beefing with the same nighas sleeping with the same hoes eating from the same restau
393,0,need bitch drop down for niggah
394,0,that pic now circulated jihadis with call kill him saudi isis syria
395,0,really too bad that california had faggot marriage forced upon her after her citizens declared illegal
396,0,man most you coons could not jus quit job you found out boss racist shut tha fucc niggas love
397,0,chasing these hoes better get cash nigga
398,0,have you eva asked nicca where dey got sum fake designer frm
399,0,may but studied critical race theory and amy people holder getting his arevenge they hate whitey
400,0,all racist ntx trash all hate see this paicular man not the butler
401,0,fuck the islamic state will kill those cunts
402,0,diversity chcgo blck pstr flooded dth threats ovr endorsement gop candidate sellout uncle tom ass gger
403,0,damn took this dumb spic nearly days respond wuz really good tho beaner
404,0,was joke you fugly bitch happy uncle snoop even acknowledged your nasty ass lmao
405,0,who wants chill cus throw bibles bitches taking the walk shame
406,0,youre racist against white people whigger codeword for codeword for antisemite
407,0,real nigga gone teach his bitch the game not run her
408,0,you got niggas got bitches
409,0,hoes really get mad cause nigga not want cha
410,0,spic ever talks white person and the white person kills them self defense
411,0,was deleting this pic until realized dike the back ground dressed like nigga with wedges bitch
412,0,those guys are the definition white trash
413,0,obviously not talking about cod because that game for queers
414,0,between this trend and the vines acting like women its like niggas could not wait faggots
415,0,fags
416,0,well maybe you are whore you stupid ugly homeless bitch
417,0,you state gook
418,0,you tell coon
419,0,members religions are all trash
420,0,sweet comeback fuckin herb dnt watch soccer but still wax your bitch ass swallow the red soxs kids from nyc fag
421,0,but and grades say other wise can stfu and get off twitter can box simple ass that pussy boy
422,0,yes you retard
423,0,you better pray not send your nudes out bitch
424,0,fag hesgay
425,0,would like rape the bitch that posted that
426,0,hell naw not the star that team lol but sure that white honkey called him nigga
427,0,lassen the coach wants feel youll get more nig doubt
428,0,subtweet one more time you diy chink whore
429,0,wouldamn you whitey you will get kick out the form white privilege
430,0,you not know shit about faggot bitch
431,0,the south the white trash
432,0,the fuck talking about told once and going tell against nigga love white bitch gtf bro
433,0,did mention you are ugly cunt back iran
434,0,you look like welfare bitch compared latinas date and fuck you need fashion and makeup tips tbh
435,0,you are all niggers
436,0,slightlyadjusted alls niggers wan fuck tweet and drink pineapple soda all day
437,0,spics are half breed trash filthy native should allowed speak any european
438,0,you would have followed george washington means that you are white trash
439,0,was faggot crybaby
440,0,spic has any right say anything any anglo ever and should killed for doing
441,0,this nigga fuckin faggot
442,0,you are retard
443,0,yea stupid faggot not leaving till like want ride
444,0,nigger
445,0,thanks for ignoring texts fag
446,0,your acting like spoiled little faggot have fun
447,0,burn bitch
448,0,brady heard yall say was washed now washing the league you hoe ass niggas
449,0,good leave you stupid faggot
450,0,look this faggot
451,0,means that following orders and being subordinate sue dyke
452,0,nig
453,0,that what happens when you date colored
454,0,next time gone call darky nicca call dat coon jungle bunnyboondocks
455,0,not stand that asian dude just now faggot gives attitude cause almost forgot water fuck faggot was not stage
456,0,fat ass hoe holding the machine
457,0,hey dicklicker says happily divorced not bitter homophobic not scared queers hate fudg
458,0,old man has white galaxy phone cuz fag
459,0,got slow down these coon hrs all they know love hip hop lebron fake love quotes
460,0,fat precious lookin ass bitch big fat back the barnyard lookin ass bitch can fix grammar but still fat
461,0,you are reading you coon
462,0,becuz man should celebrate his bday drreams faggot
463,0,not nigga honkie
464,0,well how else will white ppl get forget our horrific past other than paint pretty picture
465,0,you are not the father what every loves hear
466,0,well genos the ultimate faggot
467,0,what ppl expect august aslina nig from new orleans
468,0,fuuck jalens slow bitch
469,0,your cunt
470,0,fucking faggot
471,0,you suppo illegals coming here and spreading disease among americans dream that bitch
472,0,studies show that you are faggot
473,0,rebelscience using actual woman genetic engineering lab for all natural clones something faggot rome
474,0,leave dyke
475,0,move out our country teabaggers
476,0,fucking block your white ass because you try sta shit like fucking queer fuck you nigga
477,0,faaaaggggottttt speaking with the blonde hair and confused you are hypocrite cuz you are faggot
478,0,what good about prom all see another faggot ass high school dance
479,0,hoes will hoes
480,0,ratchet looking nigger
481,0,what did you search gay redneck episode play
482,0,this nigga jerry room smell like bad pussy
483,0,good morning coons
484,0,doctor tonight such miserable cunt even nurse pissed off she been here since and has not come see once
485,0,some one not protestant they have right alive the none all they are foreign filth
486,0,julie tell them crybaby blacks get someone blk and dress them white faced niggers always whining
487,0,fuck you say bitch will kill you
488,0,you kill all cops and cracker babies what next black states white states and latino states not that moving backwards
489,0,trust when say that jesuschrist would killing faggots came back life today day and age spaacus rome
490,0,say that shit face bruh you bitch for gettin man dont know business handle own shit
491,0,like the new avi twitter retarded and shows you the cubs hat but when stalk your profile show the new one
492,0,lmfaoo never dolo dont got niggas for old hoes fuck all them
493,0,mayweather pussy hes only winning cus picks his fight and picks the nobody fighters fightpacquiao
494,0,thought you would like him cause the chi but yeah faggot
495,0,pussy ass nigga
496,0,not stop now half breed just staing learn about what makes you dumb ass
497,0,too many faggots here that think they can address first name
498,0,idk you into mouthy spics welfare with kids and baby daddy
499,0,shut you stupid bitch
500,0,water wet nike trash
501,0,shame you kike jews are chosen people
502,0,fuck outta here and put some more trash ass ink your faggot ass self pussy
503,0,your tits may better looking but her face makes you like asian latina tranny facts
504,0,vin scully once called camel jockey liesaboutvinscully
505,0,who the fuck you callin jiggaboo nigga
506,0,but live the south lot more here pop lives rhode island hardly niggers there
507,0,minnesota full white trash
508,0,stacey dash won baddest bitch evaaaa
509,0,that true idk why your even this convo you dumb nigger attention whore
510,0,those god damn chinks
511,0,fuck brett farve redneck ass stuckup not give damn lol cus acting like the shit
512,0,hopes dis not cause colored cause knows actin all nigga like
513,0,not gon happen the coward nigger gets lit knows pac has sign tmt but why
514,0,yay for america israel put more jew hating muslim trash into our government pathetic sickening
515,0,niggas actin like hoes most bitches
516,0,goodness hate chinese people fucking zipperheads
517,0,just watched the scene zero dark thiy where they pop osama bitch ass
518,0,did call bitch said you were acting like one you just called one nigga shut bitch
519,0,hey you are nigger racismisaliveandwellbro learn from other blacks the league how conduct yourself
520,0,this faggit bitch tried say she hoe would for bearfaced bitch yusa fag
521,0,wan sleep but outside with this nigger lol trying hang him
522,0,stay home then bitch fuck
523,0,you will make the team them niggas trash lol
524,0,white trash warfare
525,0,wetback
526,0,your picture makes you look like serious fag justsayin lol
527,0,she pooted either young thug gay this bitch pooted
528,0,you fag
529,0,how about you wash butthole out with your tongue you little faggot
530,0,bitches like mixed wit italian chinese african american like bitch just cuz you ate
531,0,stay talking defending your fuckboy ass boyfriend what suck him off while youre faggot
532,0,lmao you niggas regionally picky about hoes now just say anything twitter makes fun tho
533,0,naw the only one mad that espn gon talking about faggot ass penn state all week
534,0,fuck that niggah weak cant tell that you freak
535,0,white bus drivers are all white trash losangeles
536,0,from now will call all radical muslims niggers very fitting and racist racist against anyone who hates america
537,0,way fuck your bitch the name the lord race
538,0,would rather from rancho then live ghetto ass urban areas with niggers and nigger impersonators adopting
539,0,this vine still funny shit how many niggers are store
540,0,happy bihday this coon ass nigga buckcity
541,0,love fuckin wit people givin greedy ass nigas old crackers wit expired cheese dey callin like nigga shittin likea goose
542,0,fat ugly ass could not even pull the ugly bitch the school
543,0,stfu ugly dyke
544,0,know righttt hate fat loud bitches
545,0,people who enjoy shows like and are douche bags usually white trash too
546,0,you really seem love sandusky weirdo creepy ass cracker
547,0,ugly emo trash cut
548,0,randies are fags
549,0,looking like hillbilly and not matching what best goodnight losers
550,0,accept your flaws and imperfections because that what makes you you see fuck small dick faggot with parents who not love
551,0,ion speak how flaw niggas and thirsty hoes but boyyyyyy look here
552,0,tell the hating niggah stfu
553,0,she cunt
554,0,not sassy white trash change username
555,0,one less little nigger that would grow into big nigger
556,0,you stupid redneck animal husbandry does not mean you can get hitched your blue tick hound misty
557,0,sitting the bar work watching walking dead and all these fucking wetbacks decide come turn their spic music jesus christ
558,0,hate when faggots talk shit here then block not respond bitch will write you letter with response
559,0,dont faggot cover your mouth when you fkn cough sneeze got immune system keep strong asshole
560,0,stfu dyke looking hoe
561,0,your fag
562,0,only faggots drive stick
563,0,the south full white trash the midwest full white trash the west coast full white trash
564,0,never had any friends the entire time lived virginia one was cool hope those white trash southerners all die
565,0,your own shit now pussy what joke you would end just like all the rest show chicken shit mother fucker
566,0,they recruited buku fags here warehouse place for them
567,0,not likes dat magazine all black folk look like dey one chromeasome away from ape
568,0,whatever fuck all those assholes they are niggers they all look alike
569,0,fucking losers wetbacks sorrynotsorry
570,0,know why the ultimate warrior died god loves fag toosoon was crusader little light jokes are necessary
571,0,live the eye white trash hurricane milwaukie where people use bikes dui not save the environment
572,0,haha ight nig calm yoself
573,0,hey fag said this was your aunts said was you
574,0,not mind black people hate niggers
575,0,faux noise pundits not like duck molester racist homophobic teabagger darling phil robeson either
576,0,know kidding some bet funny love when blacks call eachother ignorant and niggers makes not have
577,0,did not forsake all other bitches for wife getting fucked another nigga and you know she married you got die
578,0,soon will fuck backtrack and not wait because fuck those faggots
579,0,this nigglet
580,0,not about shoot this pussy ima beat his face into the asphalt
581,0,feminist aka bitch
582,0,guess blaspheme your allah your pos muzzie huh
583,0,why niggas enteain that nicole bitch not see how can ever take bitch that posted naked pics serious
584,0,dutch people who live outside newyorkcity are all white trash
585,0,happy bihday faggot
586,0,how many niggers are store knowwww you are stealing
587,0,most these people are followers followers truth but they themselves are still niggers their outlook mind all
588,0,lol since from the south automatically sound like fucking redneck hahahaha how about fuck you stupid ass
589,0,you little fag least will fuck woman have kids plus work suppo them hipster homo
590,0,you dont see the connection between legitimizing the queer lifestyle and increase std and sexual
591,0,horrible invader zim was trash
