,tweet,class
103,smh tyga shoulda knew blacc chyna was hoe when his son crip walked out her pussy,0
104,you must retarded think fucking,0
105,via milf babe with big tits lisa ann masturbating her cunt the office,0
106,retard,0
107,sick niggers,0
108,made you lunch you fat faggot,0
109,that nigger busy sure wil come back you,0
110,more queer lady templars that point,0
111,twitter for fags,0
112,this faggot looking ass real,0
113,its almost and hungry but nigga what the fuck,0
114,nigga pounded that nut deep his bitch tight asshole,0
115,tucker and dale evil you want killer hillbilly ill show you killer hillbilly,0
116,muslim women are for muslim men not white trash inshallah buy borrow,0
117,you get this app and act like nigger everyday arent you tired,0
118,sieg heil praise inbred hillbilly gop salute,0
119,skynews why does anybody listen this daft old twat,0
120,the faggot that eminem yearswitheminem happybihdayeminem,0
121,dyke,0
122,direct quote from good goat with gun will stop cunt with gun,0
123,heyyyyyyyyyyy fag boy gon watch you play,0
124,dont tell appreciate you bro and then stiff appreciate with some cash nigga,0
125,red means utter cunt block sight done,0
126,creepy chrisingham you are massive massive twat,0
127,that not even real word must have hit blunt and staed making shit with your nigger ass lol,0
128,nigger,0
129,don and don readjusting after impeachment their trailer park,0
130,cant believe youre blah blaaah blah lol shut nigger,0
131,ofc the cunt had update when need shut down the most,0
132,newprofilepic retarded filters edition,0
133,try via this faggot ass bitch ass nigga,0
134,six more years faggot,0
135,really over you nigga,0
136,not likes dat magazine all black folk look like dey one chromeasome away from ape,0
137,weird cking looking retarded cat,0
138,rudy gay faggot for not changing his last name once got money,0
139,the biggest faggot the world,0
140,that nigga like this,0
141,nigga,0
142,squirrelly shirley looking like dyke she really has the look down pat,0
143,when you see diy cunt toilet,0
144,bahahahaaa who wrote this aicle the white trash drunky doctor ford,0
145,sjw looking like,0
146,joe the dope conclusive proof you retard,0
147,how many fuckin fags did even get shouldnt allowed into wallet whilst under the influence haha,0
148,not mind any twat bleda porkum,0
149,maam that ceified dyke,0
150,zion williamson caught outside club fighting people years ago this nigga got hands,0
151,momma going cook rice for you you fake ass hoe asian twat,0
152,this nigga was poppin twitter and then dipped whereismuhku,0
153,when gon ever fall off nigga never,0
154,retarded twitter user staer pack,0
155,hello the nigger agenda,0
156,pull you twat,0
157,sick yall giving these white women pass speak yall are trash basura take yourself out,0
158,someone please suplex this faggot right his head the wood floor,0
159,full movie milf babe with huge melons karrlie dawn spreads her shaved twat,0
160,will just save retarded for all you libs lacking critical thinking skills,0
161,this the twat who put the into,0
162,happy bihday nigger hope massa gives you the day off,0
163,this fucking mulatto nigga cursed team,0
164,the title memoir will the liberal dyke feminist who lived her bath,0
165,kept looking this nigga dick through his scrubs told meet him his room and dug all ass,0
166,same nigger who was beefing twitter,0
167,point denial dress pink suck cock expose yourself sissy faggot,0
168,when the baby realizes that the nigga not his real father,0
169,hell naw not the star that team lol but sure that white honkey called him nigga,0
170,who else hated this bitch nigga,0
171,boston media acting retarded over the gordon signing wonder how they would act signed kaepernick,0
172,hahaha the guv and his,0
173,not the home the nigger anywhere but there,0
174,days really horny need somebody use cunt,0
175,delete your account faggot,0
176,nigger stfu,0
177,want show more cheeky boobz lesbian spic titties valentinesday mrclub,0
178,when the gay kid cant handle being called faggot and decides endorse genocide,0
179,louise just stop talking want lick your cunt,0
180,gorgeous milf lisa ann exposing her massive boobs and trimmed cunt,0
181,have known should afraid the shit president retard could sta before took office,0
182,lmao retarded didnt even read the rest,0
183,move dat bitch out way top faggot coming this rap shit worldstarhiphop retweeet,0
184,what absolute cunt,0
185,nigga wan bitch about pay know address knock door,0
186,turkish cunt,0
187,same nigga,0
188,kim also called people retarded for not knowing what she was,0
189,your favorite faggot back,0
190,fucking makes sick people like this all try and fail get some likes sick fucking cunt,0
191,faggot hunter coming for your furry buttplugs,0
192,but clearly there not nigger nazis out there,0
193,this the greatest day life love big dyke energy,0
194,nigger pls,0
195,doodles very pretty man really sharp dyke,0
196,you love dat nigga dick huh whos daddy,0
197,wait can attack people based off opinions disagree with well that case punch sjw,0
198,follow tic tock banana faggot,0
199,these faggot ass shoes refused tied,0
200,you are the cunt cunts cocksucker cocksuckers,0
201,you stupid jock cunt,0
202,and this cunt not jail,0
203,you making the nigga tear now thank you member,0
204,status repo making pit stop canada rape bitches,0
205,not you nigga told her how you doing her accents,0
206,sad news the dkdynamite anime faggot tweet has been deleted,0
207,proud exposed public faggot text faggot,0
208,cheating horrible cunt when will you cunts wake and ban him,0
209,who you callin spic you white piece bread,0
210,cool hopefully this white person will get replaced someone who not racist twat,0
211,have you ever seen bigger piece inbred racist trailer park trash your life,0
212,you aint kobe nigga,0
213,yall see this nigga control mans bro big scammer,0
214,youre fag,0
215,isnt redneck america wonderful,0
216,retard bunch fks gag totally sick funny viral humor content looknowplaying,0
217,fucking scamming ass rich ass nigga dreamvillefest,0
218,memphis bleek lookin faggot,0
219,happy bihday cunt,0
220,titleofmysequel special cunt too this time she trying bitch,0
221,evan peters saying wetback cult,0
222,its jaylen faggot,0
223,trust when say that jesuschrist would killing faggots came back life today day and age spaacus rome,0
224,eric bailly ready hammer kick that cunt with that look,0
225,just retard brain episode anime airs some faggot online tells you bad and you hop board,0
226,surrender,0
227,ass out pussy phat point rich nigga,0
228,take nigga then theres nothing you can about,0
229,the most annoying white ppl the ones who make white ppl jokes say white ppl trash ngl,0
230,more days and nigger graduates from will the same shit,0
231,diy cunt,0
232,smh niggers music knowledge,0
233,let full retard with keel,0
234,everyones just looking username nigger wan messy tea,0
235,bet you think you savage huh fucking faggot,0
236,not mind black people hate niggers,0
237,turkey tom bit cunt,0
238,california biggest retards not forget about holy who just released amazing,0
239,dyke just block like was ever that serious,0
240,niggas actin like hoes most bitches,0
241,listen carefully you can almost hear the slow her retarded mechanical brainlet,0
242,taehyung said nigger rights now and whites electric chair,0
243,gay ass nigga,0
244,worst character the game far hate this faggot nintendoswitch,0
245,screw the ragheads,0
246,when mom tells quiet about talking trash about trump front other white people,0
247,still the best hut card rammer the little cunt,0
248,retarded,0
249,somebody couldve been like aye man you dropped your money but nooooooo fucking broke faggots selfish bastards hate yall,0
250,everytime see old nigga tweet,0
251,die bitch die mum will hate this tweet but least did not call her cunt,0
252,this striker whilst your striker home dying his hair blonde distract the fact hes fat lazy cunt,0
253,yuge difference buildthedamnwall buildthewall,0
254,faggot bait standard transmission just floors,0
255,nuffin compared your played race card juan juan,0
256,hey fuck yourself heres gif you twat,0
257,happyhalloween compliments redneck blackface,0
258,this the exact face make when says faggot times single lyft ride,0
259,why this nigga mal look like professor klump only half way turned into buddy,0
260,big dyke energy,0
261,faggot lollipop,0
262,any real nigga knows not look his barber the face while hes cutting your hair,0
263,this the face man that says nigger hardr kavanaugh,0
264,you not say mob gathering the unfounate back grandpa age retarded,0
265,frank here showin you the best way turkey baste your dyke wife just right,0
266,holder justice depament isn interested the facts ferguson these race hustling bitches are disgraceful,0
267,religious faggot religious clipssale,0
268,cat fucking staring your eyes wants kill you you fat cunt,0
269,poppy really went off making faggot anthem,0
270,your bible speaks truth redneck,0
271,fucking scam you think different you are fucking dyke,0
272,careful for what you wish for nigger,0
273,using cunt you should,0
274,man bitch not gon damn thang not like what got say then unfollow,0
275,you ever just see someone account and think wow what faggot but the same time you not unfollow not,0
276,hahahahahaha ever see one his hillbilly rallies,0
277,pillow talking too hoe hating nigga fuck around loose hoe like that,0
278,man swear today like nation hit tony while driving day this chink almost smashed into,0
279,real witchu whole faggot,0
280,sit the fuck down you hussy ass cunt,0
281,alright get back around the desk nigger,0
282,nigga whole month and already need bigger tool box and that bitch better come with some wheels,0
283,going sell iphone and both macs not suppo faggots,0
284,dumb cunt,0
285,when she sees nigger niggering,0
286,drake you sit the corner and cry when you listen him lmfao pussy dick rider how drakes cock taste faggot,0
287,retard class,0
288,yes white trash trump suppoer who says the word not sure what else expected,0
289,time like the present pull race card,0
290,used cunt,0
291,twat rocket,0
292,hypocrite narcissist and all around faggot thevirdas,0
293,trailer trash salute,0
294,she style she grace she will spit all over your face she dyke,0
295,yes you are right all they have race card but they forget,0
296,not block real life dumb twat,0
297,random guy shit talks and calls everyone trash white boys calls him nigger random guy,0
298,redneck not the cock hot,0
299,filthy faggot goth farmboy,0
300,when call you front people like you did not suck his dick last night,0
301,this crush facebook tell her pathetic slutty faggot,0
302,much hate you are sad little loser sjw spidey,0
303,hey what piece white disgusting trash are you the front row this picture,0
304,haha look this gay faggot,0
305,finally darker than boyfrienddd whos the white trash now,0
306,hillbilly lilly has some,0
307,all you racist retarded retrumplican peckerwoods,0
308,larryelder two race card hustlers and guilty white liberal walk into bar,0
309,the big dyke for sof nationalgirlfriendsday,0
310,this haircut got fire girl you look like vince staples retarded brother,0
311,ebola sounds like hood hoe,0
312,big dyke energy,0
313,retarded locking,0
314,you badass little chinaman now,0
315,plug moe dat nigga really getting high high,0
316,swallow nigger cocks for living,0
317,bernstine chi sox jew fag,0
318,yay for america israel put more jew hating muslim trash into our government pathetic sickening,0
319,flaming faggot like big hard cocks thick creamy jizz and musky ballsacks,0
320,you fatherless wallet carrying ass video game playing ass negro breh you filth way you can afford date twitterhoney,0
321,what idiot asshole somekinda faggot indian teepee barnt,0
322,there are reasons for borders chula vista maga buildthewall factsmatter,0
323,the reason shelby hates sandwiches because queer,0
324,thank you for buying faggot training joi mvsales manyvids,0
325,okay dyke,0
326,forgot headphones ill actually hear people say faggot,0
327,nigga lockjaw dead,0
328,hope you came the right way too faggot,0
329,fucccccck hate this nigga,0
330,stop that you nigger you pretty,0
331,upset with other niggers what they doing,0
332,guys waiting for you call text cum and fuck this sissy faggot,0
333,hoes will hoes,0
334,local dyke goes the beach,0
335,nigga said upset,0
336,laughs nigger,0
337,when will latinx people stop saying nigga,0
338,mads confirmed cheryls dyke how cheryl warriors feel now,0
339,probb muslim cunt,0
340,think finally cunt back use and looks suitable for photos,0
341,dyke irl,0
342,offf fucckkk you cunt penis turks,0
343,lmao get spend whole week without retard sister,0
344,some cunt collect their doon newcastle,0
345,take back faggot,0
346,hey nice account faggot,0
347,youse monkey nigger knock your tree apa bitch,0
348,you must retarded you like chris brown,0
349,straight people yelling faggot fairytale new york,0
350,niggas are retarded,0
351,some days really just full ass wetback,0
352,pls call them out hate when ppl use retard insult,0
353,this nigga lucky bro like mom woulda just ended nigga,0
354,stay spain with your trotters you country fucking twat,0
355,hey nigger chill with these bad takes,0
356,happy bihday cunt breath arse bitch bhuna,0
357,via masturbating milf eve angel teasing her hairy cunt panties,0
358,melania grows the white house garden better than any nigger anywhere including michelle well people,0
359,trump laughing this dumb ass coon nigger right now kanyekardashian,0
360,whatever hoe bitch them fags beat yall sad asses too,0
361,stop the caravan mob invasions the border buildthewall stopthemobs,0
362,how riding the next loyal dyke meet strap from the back,0
363,are you ready for your cunt punching,0
364,faggot,0
365,called her cunt,0
366,mega dyke whipped,0
367,you think dusty dyke tweet was about you was,0
368,ohhhhh goody another hillbilly nuremberg rally,0
369,yea get fucked cunt,0
370,let nigga come try and get hit witj that iron,0
371,video tublack song for thenigger,0
372,nothing from pittsburgh trash just most the white people and you know this,0
373,back the point when get killed make fun their gts your name bihdxys where the faggot,0
374,nigga,0
375,this why stands his comments nothing right wing about its fact banislam,0
376,real nigga bihday,0
377,slut facecunt its your kutiya and one the use your face cunt have pee,0
378,this old but gold see how them nigga staring follow for more,0
379,when her her nigga poor,0
380,drag king just called faggot and roasted lip sync,0
381,when nigga got you cked,0
382,retarded,0
383,this nigga fraud gilgaopm apple dumb fuck for makin the lil home bar show screenshots too,0
384,little slutty dressing white trash whores who dont want you are epic cock blocks good luck,0
385,are you working route running and catching you will good for grier have fun with the white trash racist fans fsu,0
386,this sissy fembottom faggot needs get fuck,0
387,your own shit now pussy what joke you would end just like all the rest show chicken shit mother fucker,0
388,kevin the faggot sissy xposed,0
389,this nigga love,0
390,their nigger elevated bitch wouldnt home wasnt them,0
391,you retarded tarded,0
392,dis nigga hiding baby,0
393,hate when faggots talk shit here then block not respond bitch will write you letter with response,0
394,paul has even more retarded forest gump run dayfiance dayfiancebeforethedays,0
395,hows feel midget muslim mayor you twat,0
396,kellyanne cunt the daily liar,0
397,fuck yall challenges nigga,0
398,family event when they all sniff out that faggot,0
399,faggot must wear lock,0
400,how you respond this retarded meme,0
401,you faggot look what have for you see this and more,0
402,that the most retarded shit ive seen,0
403,bestfriend retarded,0
404,logging uwu charizard acey faggot boi,0
405,faggot,0
406,hate when white trash try act like they are equal only makes that much clearer how white trash they are,0
407,keep going this faggot just loves getting drained does not cashfag game,0
408,rather trash than white man please please and please,0
409,fuck you then you fat tit faggot,0
410,really nigger,0
411,this twat blocked cah did not wan buy his account cah against the rules edcodes,0
412,when get famous and people dig old tweets saying faggot,0
413,racial minorities were not criminally inclined they would not have much worry about act your color race traitor,0
414,these sour apple bitter bitches not fuckin wit,0
415,why there always that last cunt the line,0
416,this nigga wildin get the fuck outta here lmao,0
417,accurate and typing sit the fuck down retard,0
418,nigger aight concave backside you got,0
419,repeating himself hoping for some kind,0
420,and tianna after calling random gay guy faggot,0
421,would hate feeling like faggot too punk ass hoe,0
422,happy bihday dyke friend juju beat,0
423,everyone want slim shady back eminem brings him back and calls tyler the creator faggot everyone,0
424,chill ever become president imma ban henny from america for day just see you negroes panic gotcha bitch,0
425,your friend retarded who holds cutlery like that,0
426,leftie twat retweet and get this ugly bint all over twitter leftiesnowflake neverkissedatory,0
427,when see faggot floor,0
428,ready not redneck not have seatbelts the recliner but will okay,0
429,help this woman robbed wawa parking lot and said stream love faggot,0
430,ppl really tryna play like retarded sum,0
431,white trash thead,0
432,delete now you bitch ass nigga the redskins beat will delete fucking,0
433,pure white trash,0
434,nigger,0
435,yes the nigger agenda,0
436,tell your faggot ass mods jerry get off ducking dick every time type get timed out,0
437,watching this cuban nigger right now but dont see you,0
438,lol enjoy the twitter ban you trump twat,0
439,come this someone come look this damn dyke getting her breast pump lol,0
440,ready your cumdump faggot chastity barebackme cumdump,0
441,dont talk about guns nigga jus blaze,0
442,and there this cunt,0
443,dance nigger boy,0
444,this egyptian has just killed peeking under door hope you die hole you ugly sand eating cunt,0
445,just walked into class skipping yes faggot,0
446,hate that bitch the fact that oomf likes her just retweeettt,0
447,turn that jungle music off nigga gger lovin music wan beat his ass,0
448,what twat okami,0
449,not just love when faggot does his told lol what pathetic cunt,0
450,this nigga really fumbled the bag for some pussy amazing,0
451,nigger,0
452,scunnered with this creepy cunt following every few months,0
453,only lesbians get their nips pierced,0
454,pathetic helpless fucking faggot totally exposed and humiliated,0
455,and yeah who said not need buildthewall illegals,0
456,what the hell akari became nigger,0
457,where lead checks then retarded ass need that bread,0
458,the way this niggah just flinched this movie was priceless,0
459,retarded you are worst than stupid regvlp,0
460,hell retard wetty betty amin china china tourniquet runs new china,0
461,watch use fuck hole hard while electrocuting useless cock locked chastity faggot malechastity estim,0
462,see faggot floor,0
463,somebody said look like dyke with goatee,0
464,das ist white trash adamsuchteva,0
465,happy bihday fucking nigga,0
466,the era that made stan ugh she was cunt,0
467,looking friend after they said some faggot ass shit,0
468,they said dyke rights newprofilepic,0
469,these people get enjoyment from beating and huing the helpless dont want them our country banislam,0
470,surprised you could read with slits for eyes,0
471,the let house nigger fly primetime abc would neva blacklightning,0
472,shall compare thee summers day shall not because you are cunt,0
473,fag,0
474,brah telling you females drinking retarded juice,0
475,dog twat,0
476,you look like tupacs retarded second cousin who also virgin,0
477,ill back faggot,0
478,love being dyke,0
479,man this old ass big ass dyke bitch was feeling last night was sooooo uncomfoable,0
480,they definitely just called nigger,0
481,been with this ginger twat for nearly year,0
482,nigga,0
483,fucking retard,0
484,treasonous white trash piece garbage scum the eah rat bastard,0
485,via awesome brunette bitch veronica showing her nasty side and cunt,0
486,dont speak cunt sorry,0
487,all retarded,0
488,you idiot she not need that surgery stupid cunt,0
489,sissy cocksucking faggot sissy femdompov femdom,0
490,his student called jahnell nigger and instead pulling just contacted her principal,0
491,they went full retard long ago,0
492,shit ass nigger piss,0
493,say good riddance nigger boy,0
494,moon cricket thanks for breaking the nigger barrier,0
495,trump has gone full retard,0
496,the cunt and the nigger cunt below set fire woman the right,0
497,come serve faggots messages are open looking for new faggot fill space wallet findom,0
498,black trump suppoers when white trump suppoers call them nigger,0
499,years ago was chions car this year belongs retarded people who cant drive,0
500,this pollen finally getting nigga,0
501,twat,0
502,lucy the dyke lumberjack,0
503,hate taking shit public places feel like faggot when placing the toilet paper the toilet seat,0
504,you the white trash have nothing with employment unless hiring klansmen,0
505,jesus fuck look horrible sjw bangs,0
506,when you and your friends see the retarded kid fliing with the school thot,0
507,beto rhymes with wedo pendejo pedo and cunt,0
508,when post nigger penguin for the time,0
509,how many niggers are store knooooooow your stealing,0
510,her you must retarded you think fuckin,0
511,man nigga nigga and here for every bit,0
512,still shocked that dude thought that changing nigger negro would better,0
513,straight men use faggot for amusement see this and more,0
514,follow back unfollow faggot,0
515,not like talking you faggot and did but nicely way fag,0
516,most these niggas broke for these hoes,0
517,barely clothed latina milf stripping and teasing her hairy cunt outdoor,0
518,faggot,0
519,embarrassing how some people are retarded vote for this clown,0
520,solo babe eve angel removes denim ski and pantyhose before spreading twat,0
521,that shi needs come with armband,0
522,caucasian teacher when she said nigger,0
523,you should research before offering statements bansharia,0
524,behave nigger,0
525,give nigga the blues,0
526,remember this cunt,0
527,coons not wait wear them oreo,0
528,dumb smoking sissy loser faggot,0
529,this trump suppoer called nigger this america,0
530,kill the coons,0
531,they wan racist but cry when call whole ass nigga with dick nigga like,0
532,this the first and only dyke ive ever heard sing,0
533,taylor swift babecock babecock cock sissy faggot batecocktobabecock taylorswift,0
534,cussed out fat redneck the last day yolo,0
535,shes not your servant rich white devil trash,0
536,idol disgusting white trash hoe bag celebrity,0
537,nigga this,0
538,fuck you faggot,0
539,feckless brown cunt race baiter,0
540,when nigga say turn around,0
541,all the negro working for your white bosses cnn calling kayne west dumb yard nigger,0
542,get spit retard made you leave the fucking game lmfaooooooo,0
543,think she low bitch where are your sons dads every nigga east fucced,0
544,slacked jaw faggot,0
545,dog has vagina and were going fun unisex cunt kill but has dick,0
546,you come home and dyke got fresh set mink lashes wyd,0
547,this faggot needs new master mistress contact interested,0
548,fuck you cunt lmao,0
549,watching the boxing you gay cunt,0
550,lgbtqtwitter people call dyke like hus feelings,0
551,really thats fuckin feminazi have ever seen one,0
552,actually the reason behind that many femboys straight gay pan and are sick the sjw pigs,0
553,bob woodward book trump called sessions amentally retarded,0
554,hello yes this the man right here the one who looks like fucking dyke,0
555,nigger they act finicky chapteriiseries,0
556,thanks twat,0
557,the biggest cunt them all ross you knobhead,0
558,white men are fucking trash,0
559,lmaoooooooo going hell bra why laughing hard this nigga lil baby,0
560,this guy wasnt just wank manager cunt person,0
561,look david the soft twat,0
562,cant believe this nigger ignored for hours guess its over,0
563,the full gallery milf babe with big tits lisa ann strips and spreads her cunt,0
564,where are faggot,0
565,folks sipping that retarded juice today,0
566,still cant believe they made faggot version this and all just let them,0
567,this retard staed tweeting trash again,0
568,yall just gon ignore eminem just said faggot,0
569,aids entering faggot body,0
570,dyke with high heels,0
571,you might redneck,0
572,you are cock sucking faggot coercedbi financialdomination coercedgay,0
573,nigga said was trying turn err club into the thunder dome aint shit,0
574,she cunt,0
575,you got faggot,0
576,real ass bitch give fuck bout nigga,0
577,the biggest cunt this platform fact,0
578,lot uncle tom ass niggas out here,0
579,black panther lost this nigga,0
580,every nigga,0
581,being nigger not color state mind,0
582,naw raphael got idc you white jekdndkd nigga what,0
583,its very good you allow retard sit table,0
584,you are going halloween pay and here practicing some retard music,0
585,mmmm yes accept your sissy faggot travestie yes for you sun,0
586,come get that chicken niggers love dat chicken from popeyes,0
587,the biggest white trash truck have ever seen,0
588,put whiteface this year and dressed eternally offended female sjw,0
589,yoooo complex some fuck niggas wtf this never compare this bum ass nigga wtffff,0
590,next time gone call darky nicca call dat coon jungle bunnyboondocks,0
591,this nigga,0
592,nigga same,0
593,nigga still aint get mines,0
594,absofreakinglutely banislam,0
595,keep legs keep legs let nigga insiiide,0
596,school retarded during homecoming,0
597,seeing ugly bitches get pregnant let know that nigga swill fuck anything with pussy alcohol longer the excuse you was pressed,0
598,managers stupid cunt yes said,0
599,exposed faggot james,0
600,faux noise pundits not like duck molester racist homophobic teabagger darling phil robeson either,0
601,its retarded,0
602,fucking feminazi,0
603,captured cctv camera with nigger,0
604,full retard mode,0
605,fucking faggot,0
606,please say dyke,0
607,ugly drunkin white trash,0
608,loot faggot apexlegends xboxshare,0
609,nigger,0
610,middle school math teacher when kids were calling faggot,0
611,can all followers repo this dumb cunt for,0
612,fat bitches fat bitches heeeey,0
613,you dumb cunt,0
614,all lil bald headed bitches standn outside kevin gates tryna get,0
615,can spot nigger from tweet away,0
616,you are such cunt kendra,0
617,cunt fucking americans your not funny,0
618,its retarded,0
619,drakes new shoes that will released yes there glitter the shoes dudes fag,0
620,you atf nigga after blowing your chihuahua head off,0
621,this nigga fucking wizard,0
622,rip nigga sean psshare,0
623,shes whole ass dyke believe know,0
624,fake christian conspiracy,0
625,mah nigger,0
626,hey let all laugh the fucking furry hahaha furry faggot,0
627,fuck you dumbfuck retard mother fucker pukimak lancau cibai punde poda yareme madeh papundi fuck off,0
628,its sad call someone but use nigger offensive term,0
629,nigga plz,0
630,fuck faggot,0
631,poppy what cunt poppyfascism brexit,0
632,well that hes not still juiced cunt for one,0
633,slimmingworld faggot dinner,0
634,americas most famous coonass,0
635,coons and monkeys like you disgust you minstrel show negro crying about shit all the time you are disgrace everywhere,0
636,over illegal aliens arrested daily how many got through with help this where live buildthewall maga,0
637,nigger,0
638,regular nig played out lol ima famous these days that counts for somethin,0
639,ohk cool then but the truth told nigger hands,0
640,told you guys mundamatt didnt get mister metokur banned was right was probbably fury realy ugly sjw,0
641,just get mad your search bar here and search stupid niggers hop somebodys head then mention lol,0
642,bantu nigger,0
643,twat did you say,0
644,tell face faggot,0
645,more like bob faggot,0
646,hole used cunt degraded,0
647,not the retarded niggas sis,0
648,said the vid that would not fight with faggot have laugh,0
649,you say any the following words the convo over nigger nigga swag yolo fag retard,0
650,this what coming across the border buildthewall,0
651,when one your homies retarded,0
652,your redneck avatar bub obviously how you feel did not mean upset you,0
653,you faggot that cums when str guys use you see this and more,0
654,sjw uses the word irrational unironically mfw,0
655,this white trash,0
656,someone said nigger,0
657,posts thirst trap ugly nigga damnnnnn,0
658,little dick ass nigga think dont know fat and can still get dick,0
659,retard ale,0
660,fucking retarded not believe put pepper bowl smh head,0
661,well fag anyways,0
662,sissy stupid faggot,0
663,why does everyone assume dyke also,0
664,confused jambo makes cunt then reposts later,0
665,just saying old hag white trash,0
666,joined twitter share music and became retard instead mytwitteranniversary,0
667,incredibly retarded,0
668,get off ass nigga put business first,0
669,you white trash redneck pos,0
670,via bosomy milf kendra lust stripping and exposing her inviting cunt,0
671,case feel retard you are totally correct,0
672,real ass bitch give bout nigga,0
673,someone shut this beaner please,0
674,faggot,0
675,count days nigger,0
676,they are going fire that bitch because she has sjw agenda just you wait,0
677,enough the race card shut already,0
678,manager called and said are you awake dont forget you have shift nigger,0
679,shiny faggot for real men,0
680,right now want own nigger fuck boy,0
681,cardis dyke ass sister obsessed with nicki,0
682,tammy you irrelevant repugnant white trash barbie,0
683,females really retarded,0
684,one day like harry styles hot the next day who this faggot,0
685,nope nigger,0
686,thought today was the last day for the first weeks retarded,0
687,what you think would happen the disgusting little twat,0
688,and the twat the day,0
689,accordingtomytherapist you are cunt,0
690,hookup with crime cam official dyke hard baby maid,0
691,looking for reason why faggots say such faggot things when one asked,0
692,the blacks california are typical niggers,0
693,such dyke,0
694,true faggot,0
695,get the bin you cunt,0
696,shut the fuck you twat need remind you what you did,0
697,not you love when people who not identify lesbian say the word dyke,0
698,still got the same retarded haircut,0
699,you hacked faggot,0
700,looks fine when does this and then try the same and look like retard,0
701,youre white dont say puta dumb spic,0
702,nigger,0
